gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,extracurricular,backlogs,projects,communication,status
M,62.75,Central,62.3,Others,Commerce,59.31,Comm&Mgmt,No,57.28,Mkt&HR,59.35,Yes,0,0,3.3,Not Placed
M,73.57,Others,74.84,Central,Science,68.46,Comm&Mgmt,No,61.71,Mkt&Fin,67.64,Yes,3,3,5.3,Placed
M,68.96,Others,63.3,Others,Commerce,75.88,Comm&Mgmt,No,85.9,Mkt&HR,55.97,No,0,1,8.3,Placed
F,73.54,Others,68.12,Others,Science,63.84,Comm&Mgmt,Yes,80.32,Mkt&HR,62.33,No,0,3,7.7,Placed
F,53.81,Central,67.6,Others,Commerce,76.86,Sci&Tech,Yes,55.04,Mkt&Fin,57.6,Yes,1,4,8.9,Placed
F,57.22,Others,63.37,Others,Commerce,81.0,Comm&Mgmt,Yes,89.96,Mkt&Fin,64.49,No,0,4,7.2,Placed
F,66.08,Others,63.14,Central,Commerce,78.56,Comm&Mgmt,Yes,76.05,Mkt&Fin,70.35,Yes,0,4,5.2,Placed
M,69.19,Central,61.97,Others,Commerce,68.19,Sci&Tech,Yes,74.29,Mkt&Fin,60.89,No,1,2,6.3,Not Placed
M,73.0,Central,73.0,Central,Science,66.0,Sci&Tech,Yes,70.0,Mkt&Fin,68.07,Yes,0,3,6.5,Placed
F,51.12,Others,65.64,Others,Science,73.25,Sci&Tech,No,64.72,Mkt&HR,65.48,No,2,1,5.8,Not Placed
F,64.07,Others,57.61,Central,Commerce,67.05,Comm&Mgmt,No,62.15,Mkt&HR,69.24,No,2,2,4.1,Not Placed
F,67.86,Central,74.7,Central,Commerce,72.84,Comm&Mgmt,No,75.31,Mkt&HR,64.4,Yes,0,1,7.7,Placed
M,61.05,Central,79.08,Central,Science,70.44,Sci&Tech,Yes,81.36,Mkt&Fin,59.28,Yes,1,3,7.8,Placed
M,76.26,Central,45.0,Others,Science,72.04,Comm&Mgmt,Yes,65.46,Mkt&HR,56.89,Yes,0,1,8.0,Placed
M,46.22,Central,37.0,Others,Science,66.14,Comm&Mgmt,Yes,70.11,Mkt&Fin,62.62,No,0,1,6.4,Not Placed
M,44.0,Central,58.0,Central,Arts,55.0,Comm&Mgmt,Yes,64.25,Mkt&HR,58.54,No,0,1,9.9,Not Placed
M,67.0,Central,71.0,Central,Science,64.33,Others,Yes,64.0,Mkt&HR,61.26,Yes,0,1,7.9,Placed
M,67.04,Others,65.79,Others,Commerce,65.03,Comm&Mgmt,Yes,77.08,Mkt&Fin,61.32,Yes,0,2,8.2,Placed
M,72.29,Central,62.96,Central,Commerce,77.8,Comm&Mgmt,Yes,87.45,Mkt&Fin,65.45,Yes,0,0,7.6,Placed
F,88.0,Central,72.0,Central,Science,78.0,Others,No,82.0,Mkt&HR,71.43,Yes,1,2,4.0,Placed
F,70.01,Central,72.81,Others,Science,74.82,Comm&Mgmt,Yes,73.12,Mkt&HR,68.14,Yes,0,5,8.5,Placed
F,68.23,Others,61.17,Others,Science,70.68,Comm&Mgmt,No,68.53,Mkt&Fin,63.07,No,0,4,8.2,Placed
F,58.59,Central,70.95,Central,Science,58.0,Comm&Mgmt,Yes,87.06,Mkt&Fin,52.71,Yes,0,2,5.1,Not Placed
M,86.41,Others,73.52,Others,Commerce,65.77,Comm&Mgmt,No,66.26,Mkt&Fin,61.45,Yes,0,2,8.5,Placed
M,70.56,Others,62.31,Central,Commerce,66.9,Sci&Tech,No,61.54,Mkt&Fin,66.03,No,3,2,6.9,Placed
F,67.0,Central,53.0,Central,Science,65.0,Sci&Tech,No,64.0,Mkt&HR,58.32,No,3,0,6.8,Not Placed
M,68.85,Central,70.92,Others,Science,67.52,Sci&Tech,No,76.64,Mkt&HR,56.78,No,1,2,6.5,Placed
F,57.59,Central,48.46,Others,Commerce,63.2,Comm&Mgmt,No,66.03,Mkt&HR,51.0,Yes,2,3,8.9,Not Placed
M,76.3,Others,63.13,Central,Arts,69.02,Comm&Mgmt,Yes,69.72,Mkt&Fin,66.81,Yes,2,5,7.5,Placed
M,59.03,Central,66.28,Others,Commerce,65.07,Comm&Mgmt,No,57.46,Mkt&Fin,51.0,No,0,3,6.5,Not Placed
M,75.76,Central,68.67,Others,Commerce,67.72,Sci&Tech,No,92.87,Mkt&HR,70.05,No,1,2,9.1,Placed
M,65.0,Central,68.0,Others,Science,69.0,Comm&Mgmt,No,53.7,Mkt&HR,55.01,Yes,0,2,5.8,Placed
M,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,No,66.0,Mkt&HR,58.3,Yes,0,3,7.1,Placed
M,66.0,Central,64.0,Central,Science,60.0,Comm&Mgmt,No,60.0,Mkt&HR,61.9,No,2,1,5.5,Not Placed
M,71.17,Central,70.26,Others,Science,69.69,Comm&Mgmt,No,98.0,Mkt&HR,70.2,Yes,0,0,7.1,Placed
M,42.5,Central,74.65,Central,Science,61.06,Sci&Tech,Yes,71.42,Mkt&Fin,63.41,No,1,3,5.9,Not Placed
M,82.0,Central,64.0,Central,Science,66.0,Sci&Tech,Yes,67.0,Mkt&Fin,62.14,No,0,4,6.6,Placed
M,52.5,Central,54.3,Central,Science,70.72,Comm&Mgmt,No,83.71,Mkt&Fin,56.15,No,0,2,7.4,Not Placed
M,60.0,Others,67.0,Others,Arts,70.0,Comm&Mgmt,Yes,50.48,Mkt&Fin,77.89,Yes,0,3,8.9,Placed
M,73.0,Others,58.0,Others,Commerce,56.0,Comm&Mgmt,No,84.0,Mkt&HR,52.64,Yes,2,3,7.4,Placed
M,73.46,Central,73.67,Others,Commerce,77.33,Sci&Tech,Yes,90.3,Mkt&Fin,67.83,No,0,2,8.1,Placed
M,63.0,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,No,68.0,Mkt&Fin,66.88,Yes,0,1,4.0,Placed
F,85.32,Central,67.0,Central,Science,74.73,Sci&Tech,No,91.17,Mkt&HR,63.68,Yes,0,3,8.2,Placed
F,63.91,Central,51.79,Others,Arts,79.89,Sci&Tech,Yes,86.5,Mkt&Fin,67.85,No,0,3,7.0,Placed
M,57.55,Others,66.27,Central,Commerce,55.7,Comm&Mgmt,No,63.08,Mkt&Fin,65.99,No,1,0,5.8,Not Placed
F,73.41,Others,59.35,Others,Commerce,71.61,Comm&Mgmt,No,61.89,Mkt&Fin,59.25,No,0,1,5.1,Not Placed
M,43.24,Central,72.78,Others,Commerce,60.29,Others,Yes,73.8,Mkt&HR,54.65,Yes,2,1,7.4,Not Placed
F,50.0,Others,37.0,Others,Arts,52.0,Others,No,65.0,Mkt&HR,56.11,No,3,2,4.8,Not Placed
M,67.51,Others,64.13,Others,Science,61.35,Sci&Tech,No,73.09,Mkt&HR,59.91,No,1,2,4.7,Not Placed
F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,Yes,76.0,Mkt&Fin,65.33,No,0,0,4.9,Not Placed
M,76.78,Others,63.58,Others,Commerce,70.0,Sci&Tech,Yes,73.56,Mkt&Fin,67.36,Yes,0,0,8.5,Placed
M,64.53,Central,69.41,Central,Science,57.12,Sci&Tech,No,58.38,Mkt&HR,65.08,No,3,2,4.7,Not Placed
M,68.81,Others,69.6,Others,Commerce,73.15,Comm&Mgmt,Yes,69.79,Mkt&Fin,60.58,Yes,2,2,5.4,Placed
M,70.69,Others,58.01,Central,Commerce,72.04,Comm&Mgmt,No,71.42,Mkt&Fin,73.44,No,0,2,9.5,Placed
M,68.27,Central,56.82,Others,Science,61.02,Sci&Tech,No,58.58,Mkt&HR,51.48,No,0,4,4.1,Not Placed
M,57.59,Central,60.63,Central,Science,56.45,Comm&Mgmt,No,85.93,Mkt&Fin,72.32,Yes,1,0,8.0,Not Placed
M,74.44,Others,75.79,Others,Science,69.07,Sci&Tech,Yes,79.53,Mkt&Fin,62.71,No,0,2,7.2,Placed
M,53.0,Central,63.0,Others,Science,60.0,Comm&Mgmt,Yes,70.0,Mkt&Fin,53.2,Yes,2,2,7.5,Placed
F,79.0,Others,61.0,Others,Science,75.5,Sci&Tech,Yes,70.0,Mkt&Fin,68.2,Yes,0,2,7.5,Placed
M,65.31,Central,50.16,Central,Commerce,76.53,Others,Yes,77.15,Mkt&Fin,69.52,Yes,0,3,8.0,Placed
F,73.96,Others,79.0,Others,Commerce,67.0,Comm&Mgmt,No,72.15,Mkt&Fin,63.08,Yes,3,5,7.7,Placed
F,52.0,Others,52.0,Others,Science,55.0,Sci&Tech,No,67.0,Mkt&HR,59.32,Yes,1,3,3.7,Not Placed
M,68.0,Central,76.0,Central,Commerce,74.0,Comm&Mgmt,No,80.0,Mkt&Fin,63.59,Yes,0,1,6.8,Placed
F,65.67,Others,53.54,Others,Commerce,70.99,Sci&Tech,Yes,79.66,Mkt&Fin,68.25,Yes,0,2,6.1,Placed
F,64.94,Others,75.89,Central,Science,67.93,Comm&Mgmt,No,65.85,Mkt&Fin,59.22,Yes,1,2,6.6,Placed
F,55.0,Central,67.0,Central,Commerce,64.0,Comm&Mgmt,No,60.0,Mkt&Fin,67.28,No,0,1,6.9,Not Placed
M,64.99,Others,53.38,Central,Commerce,63.76,Sci&Tech,No,69.48,Mkt&HR,69.45,Yes,1,4,5.1,Not Placed
M,57.92,Central,62.27,Others,Science,71.81,Comm&Mgmt,No,92.42,Mkt&Fin,57.94,No,0,2,6.8,Placed
M,53.37,Others,62.48,Others,Commerce,62.59,Sci&Tech,Yes,66.98,Mkt&HR,74.0,No,0,2,6.4,Placed
M,64.51,Central,80.57,Others,Science,70.96,Sci&Tech,Yes,53.49,Mkt&Fin,57.87,Yes,0,1,7.0,Placed
F,64.0,Others,70.2,Central,Commerce,61.0,Comm&Mgmt,No,50.0,Mkt&Fin,62.5,No,1,3,3.3,Not Placed
F,60.14,Central,62.58,Central,Commerce,68.98,Comm&Mgmt,Yes,66.13,Mkt&Fin,61.43,Yes,0,4,7.7,Placed
F,57.79,Central,56.17,Central,Commerce,64.56,Comm&Mgmt,Yes,55.9,Mkt&Fin,68.13,No,3,0,6.0,Not Placed
M,75.62,Others,60.83,Others,Commerce,68.92,Comm&Mgmt,Yes,81.83,Mkt&Fin,68.13,Yes,0,5,6.5,Placed
M,58.0,Central,62.0,Central,Commerce,64.0,Comm&Mgmt,No,53.88,Mkt&Fin,54.97,Yes,0,5,7.6,Placed
M,65.0,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,Yes,57.0,Mkt&Fin,56.6,No,0,1,6.2,Placed
M,84.86,Others,66.31,Others,Arts,70.4,Comm&Mgmt,No,89.87,Mkt&Fin,61.67,Yes,0,1,6.2,Placed
M,63.13,Others,53.37,Central,Commerce,66.29,Comm&Mgmt,No,56.03,Mkt&Fin,56.22,No,2,2,3.8,Not Placed
M,68.6,Central,69.49,Central,Commerce,76.98,Others,No,77.04,Mkt&Fin,62.03,Yes,0,2,6.3,Placed
M,57.86,Central,53.32,Central,Commerce,73.85,Sci&Tech,Yes,70.07,Mkt&HR,62.04,Yes,0,3,8.3,Placed
M,55.0,Others,49.8,Others,Science,67.25,Sci&Tech,Yes,55.0,Mkt&Fin,51.58,Yes,1,1,5.8,Not Placed
F,76.0,Central,64.0,Central,Science,72.0,Sci&Tech,No,58.0,Mkt&HR,66.53,Yes,0,2,7.1,Not Placed
M,52.59,Others,66.03,Others,Science,68.87,Comm&Mgmt,No,73.76,Mkt&Fin,62.77,Yes,0,3,6.8,Placed
M,68.2,Central,67.42,Central,Science,72.22,Comm&Mgmt,No,92.04,Mkt&Fin,51.0,No,1,1,5.8,Not Placed
M,71.41,Central,58.12,Central,Science,69.67,Comm&Mgmt,Yes,61.45,Mkt&HR,58.0,Yes,0,3,7.9,Placed
M,63.0,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,60.0,Mkt&Fin,62.54,Yes,3,2,8.0,Placed
M,63.0,Others,62.0,Others,Commerce,68.0,Comm&Mgmt,No,64.0,Mkt&Fin,62.46,No,0,2,7.3,Placed
M,66.76,Others,90.0,Others,Commerce,65.78,Comm&Mgmt,Yes,50.0,Mkt&HR,58.92,No,0,2,5.0,Not Placed
M,64.34,Others,68.42,Others,Commerce,54.09,Sci&Tech,No,62.61,Mkt&Fin,59.68,Yes,1,1,4.3,Not Placed
M,56.0,Central,52.0,Central,Science,52.0,Sci&Tech,No,66.0,Mkt&HR,59.43,No,1,2,6.0,Not Placed
M,72.12,Others,67.1,Central,Commerce,68.53,Sci&Tech,No,79.95,Mkt&HR,66.18,No,0,4,7.4,Placed
M,66.3,Central,54.26,Others,Science,62.87,Comm&Mgmt,No,91.74,Mkt&HR,64.37,Yes,1,4,9.2,Placed
M,71.99,Others,67.91,Others,Commerce,72.91,Comm&Mgmt,No,72.74,Mkt&HR,65.18,Yes,0,3,5.8,Placed
M,55.82,Others,69.6,Others,Science,54.23,Sci&Tech,No,53.74,Mkt&Fin,64.65,No,0,4,7.3,Placed
M,74.59,Central,71.67,Central,Commerce,63.32,Comm&Mgmt,No,86.97,Mkt&Fin,54.0,No,3,4,6.9,Placed
M,75.93,Central,57.7,Others,Commerce,70.82,Others,No,89.55,Mkt&HR,66.43,Yes,0,3,7.1,Placed
M,71.0,Others,79.0,Others,Commerce,66.0,Comm&Mgmt,Yes,94.0,Mkt&Fin,57.55,Yes,3,2,7.6,Placed
M,72.03,Others,86.48,Others,Commerce,67.32,Sci&Tech,No,82.15,Mkt&HR,66.73,Yes,1,1,6.4,Placed
M,61.41,Central,68.97,Others,Commerce,74.32,Sci&Tech,Yes,83.8,Mkt&Fin,64.86,Yes,1,3,7.2,Placed
F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,No,65.0,Mkt&HR,62.98,Yes,0,4,7.9,Placed
M,85.83,Central,71.01,Others,Commerce,64.45,Comm&Mgmt,No,69.85,Mkt&Fin,60.75,Yes,1,3,7.0,Placed
F,79.0,Central,76.0,Central,Science,65.6,Sci&Tech,No,58.0,Mkt&HR,55.47,Yes,2,2,8.2,Placed
M,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,No,93.4,Mkt&Fin,55.03,Yes,0,4,7.8,Placed
F,80.91,Central,75.5,Others,Science,59.99,Comm&Mgmt,No,84.02,Mkt&Fin,54.0,Yes,0,3,6.6,Placed
M,78.52,Others,81.3,Others,Science,63.11,Comm&Mgmt,No,76.11,Mkt&Fin,54.89,Yes,0,1,4.6,Placed
M,63.0,Others,62.0,Others,Science,65.0,Sci&Tech,No,87.5,Mkt&HR,60.69,No,0,0,2.4,Not Placed
F,73.36,Others,79.83,Others,Commerce,52.0,Comm&Mgmt,No,67.43,Mkt&HR,64.8,Yes,0,1,6.8,Placed
M,67.13,Central,45.61,Others,Commerce,71.78,Comm&Mgmt,Yes,68.96,Mkt&HR,64.21,No,1,3,5.4,Placed
M,52.0,Others,55.0,Others,Commerce,56.3,Comm&Mgmt,No,59.0,Mkt&Fin,64.74,No,1,2,4.3,Not Placed
F,80.25,Central,73.87,Others,Science,71.69,Comm&Mgmt,No,94.27,Mkt&HR,58.73,Yes,1,1,8.1,Placed
M,67.53,Central,61.82,Central,Science,75.53,Comm&Mgmt,No,73.25,Mkt&Fin,63.11,Yes,0,0,8.4,Placed
F,62.09,Central,64.71,Others,Science,57.78,Sci&Tech,Yes,91.42,Mkt&Fin,56.81,Yes,0,4,6.8,Not Placed
M,82.37,Central,76.88,Others,Commerce,81.28,Sci&Tech,Yes,59.2,Mkt&Fin,62.67,Yes,0,3,6.9,Placed
M,80.92,Others,78.5,Others,Commerce,67.0,Comm&Mgmt,No,68.71,Mkt&Fin,60.99,Yes,0,4,8.6,Placed
M,62.28,Central,72.17,Central,Commerce,58.68,Comm&Mgmt,No,72.63,Mkt&HR,58.61,No,2,2,2.8,Not Placed
F,48.0,Central,51.0,Central,Commerce,58.0,Comm&Mgmt,Yes,60.0,Mkt&HR,58.79,No,1,0,7.3,Not Placed
M,63.32,Others,59.44,Central,Commerce,73.41,Comm&Mgmt,Yes,81.04,Mkt&HR,69.5,Yes,0,3,7.8,Placed
M,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,66.06,Yes,0,5,8.8,Placed
M,69.12,Others,57.28,Central,Science,71.08,Comm&Mgmt,No,56.45,Mkt&HR,61.78,Yes,0,2,7.1,Placed
F,60.0,Central,63.0,Central,Arts,56.0,Others,Yes,80.0,Mkt&HR,56.63,No,0,1,7.5,Placed
F,75.4,Others,60.5,Central,Science,84.0,Sci&Tech,No,98.0,Mkt&Fin,65.25,Yes,0,3,6.5,Placed
M,70.26,Others,65.97,Central,Science,62.36,Others,No,74.3,Mkt&HR,76.29,Yes,0,3,6.2,Placed
M,72.2,Others,98.0,Others,Commerce,70.46,Comm&Mgmt,No,95.47,Mkt&Fin,70.03,Yes,1,4,5.4,Placed
F,81.94,Others,70.79,Central,Commerce,59.29,Comm&Mgmt,Yes,98.0,Mkt&HR,63.86,No,0,4,6.3,Placed
M,56.41,Central,76.63,Others,Commerce,52.0,Comm&Mgmt,Yes,91.08,Mkt&HR,54.88,No,0,1,10.0,Placed
M,73.0,Central,78.0,Central,Science,73.0,Sci&Tech,Yes,85.0,Mkt&HR,65.83,No,0,1,7.8,Placed
M,62.45,Others,43.32,Others,Science,67.31,Comm&Mgmt,No,59.35,Mkt&HR,68.47,Yes,2,1,4.6,Not Placed
M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,67.2,Yes,0,4,7.6,Placed
M,45.0,Central,76.74,Others,Commerce,80.97,Comm&Mgmt,No,54.05,Mkt&Fin,71.6,No,1,4,4.4,Placed
M,70.3,Others,64.14,Central,Commerce,70.24,Comm&Mgmt,Yes,66.07,Mkt&HR,63.1,No,0,2,6.8,Placed
M,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,64.34,Yes,0,2,8.2,Placed
F,64.43,Central,61.71,Central,Commerce,70.37,Comm&Mgmt,Yes,84.14,Mkt&Fin,66.19,Yes,2,4,5.1,Placed
M,80.37,Others,59.14,Central,Science,69.64,Comm&Mgmt,Yes,91.83,Mkt&Fin,55.33,No,0,3,6.1,Placed
F,58.74,Central,49.01,Others,Commerce,64.03,Comm&Mgmt,No,70.62,Mkt&Fin,51.97,No,0,1,4.7,Not Placed
M,83.33,Central,78.0,Others,Commerce,61.0,Comm&Mgmt,Yes,88.56,Mkt&Fin,71.55,Yes,0,3,7.6,Placed
F,54.64,Central,65.33,Others,Commerce,73.66,Sci&Tech,Yes,50.0,Mkt&Fin,53.8,Yes,0,2,7.2,Not Placed
M,57.73,Others,73.11,Others,Commerce,71.34,Sci&Tech,No,89.01,Mkt&HR,65.81,Yes,0,3,8.1,Placed
M,51.59,Others,47.89,Central,Commerce,60.44,Comm&Mgmt,No,67.74,Mkt&Fin,51.0,No,1,1,5.0,Not Placed
M,74.26,Central,46.56,Others,Commerce,56.3,Sci&Tech,No,73.88,Mkt&Fin,65.96,No,1,2,5.5,Not Placed
M,73.0,Central,79.0,Central,Commerce,72.0,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Yes,1,1,8.4,Placed
M,60.1,Others,56.96,Central,Commerce,64.89,Comm&Mgmt,No,74.22,Mkt&Fin,63.86,No,0,1,4.3,Not Placed
M,51.0,Central,44.0,Central,Commerce,57.0,Comm&Mgmt,No,64.0,Mkt&Fin,51.45,No,0,2,6.3,Not Placed
M,77.0,Central,70.0,Central,Commerce,59.0,Comm&Mgmt,Yes,58.0,Mkt&Fin,54.43,Yes,0,2,9.0,Placed
M,63.39,Others,70.91,Others,Commerce,74.71,Comm&Mgmt,No,86.3,Mkt&Fin,63.2,No,0,3,8.1,Placed
M,79.67,Central,70.88,Others,Commerce,71.05,Sci&Tech,Yes,80.49,Mkt&HR,63.54,No,3,1,6.4,Placed
M,88.78,Central,53.36,Others,Commerce,84.71,Comm&Mgmt,No,66.47,Mkt&Fin,68.9,Yes,0,2,7.1,Placed
M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,No,57.6,Mkt&Fin,56.66,Yes,0,3,8.2,Placed
M,51.0,Others,54.0,Others,Science,61.0,Sci&Tech,No,60.0,Mkt&HR,60.64,No,0,1,2.7,Not Placed
M,76.28,Central,68.12,Central,Commerce,66.97,Comm&Mgmt,No,77.12,Mkt&HR,67.98,Yes,0,3,7.0,Placed
M,69.46,Others,50.53,Others,Science,59.49,Sci&Tech,Yes,57.62,Mkt&HR,54.1,Yes,2,2,7.6,Not Placed
M,64.11,Central,84.7,Others,Science,64.69,Comm&Mgmt,Yes,85.72,Mkt&HR,60.75,No,0,3,4.9,Placed
M,78.99,Central,58.11,Others,Commerce,73.93,Comm&Mgmt,No,72.94,Mkt&HR,54.04,No,1,3,4.4,Not Placed
M,73.31,Others,73.13,Central,Science,66.85,Comm&Mgmt,No,85.56,Mkt&HR,67.88,Yes,0,3,5.6,Placed
F,62.68,Others,67.41,Others,Commerce,61.85,Comm&Mgmt,No,58.61,Mkt&Fin,59.09,No,1,3,5.2,Not Placed
M,71.0,Central,58.66,Central,Science,58.0,Sci&Tech,Yes,56.0,Mkt&Fin,61.3,No,0,3,7.0,Placed
F,56.18,Central,49.97,Central,Commerce,73.31,Sci&Tech,Yes,68.34,Mkt&HR,68.36,Yes,0,1,6.4,Placed
F,74.7,Central,66.96,Others,Commerce,65.84,Others,No,78.06,Mkt&Fin,54.4,No,0,4,8.4,Placed
F,55.44,Central,70.31,Central,Science,61.45,Sci&Tech,No,82.81,Mkt&Fin,67.89,Yes,0,2,8.8,Placed
M,49.41,Central,84.7,Central,Commerce,69.6,Comm&Mgmt,Yes,88.5,Mkt&Fin,59.49,Yes,0,0,6.6,Placed
F,73.0,Others,58.0,Others,Science,66.0,Comm&Mgmt,No,53.7,Mkt&HR,56.86,Yes,0,2,7.4,Placed
M,76.81,Central,51.98,Central,Science,70.68,Comm&Mgmt,No,56.42,Mkt&Fin,56.56,No,2,1,6.9,Not Placed
F,56.59,Others,59.73,Others,Science,63.62,Comm&Mgmt,Yes,86.71,Mkt&Fin,62.19,Yes,2,1,7.6,Placed
F,67.0,Central,70.0,Central,Commerce,65.0,Others,No,88.0,Mkt&HR,71.96,No,1,2,4.8,Not Placed
F,81.41,Central,75.42,Central,Commerce,70.09,Comm&Mgmt,Yes,78.67,Mkt&Fin,63.13,Yes,0,5,5.3,Placed
M,77.31,Central,58.1,Others,Commerce,71.69,Comm&Mgmt,No,86.78,Mkt&Fin,67.63,Yes,0,2,7.1,Placed
M,62.0,Central,63.0,Others,Science,66.0,Comm&Mgmt,No,85.0,Mkt&HR,55.14,Yes,2,5,7.9,Placed
F,95.0,Central,73.75,Others,Commerce,70.98,Comm&Mgmt,No,83.04,Mkt&HR,73.39,No,3,5,6.8,Placed
M,56.99,Central,61.78,Central,Science,69.06,Comm&Mgmt,Yes,63.42,Mkt&Fin,63.42,No,0,3,8.4,Placed
M,70.0,Central,74.0,Central,Commerce,65.0,Comm&Mgmt,No,83.0,Mkt&Fin,62.28,Yes,0,2,5.5,Placed
M,58.66,Others,43.36,Others,Commerce,68.05,Comm&Mgmt,Yes,73.33,Mkt&Fin,65.8,Yes,1,2,8.2,Not Placed
F,84.01,Central,65.43,Central,Commerce,69.16,Comm&Mgmt,Yes,53.91,Mkt&Fin,65.33,Yes,1,4,7.9,Placed
F,77.27,Others,53.92,Others,Science,63.15,Sci&Tech,No,91.24,Mkt&HR,65.43,Yes,0,2,8.9,Placed
M,67.8,Central,73.61,Others,Commerce,55.19,Comm&Mgmt,No,50.0,Mkt&Fin,66.91,No,0,0,2.5,Not Placed
M,74.0,Others,59.0,Others,Commerce,73.0,Comm&Mgmt,Yes,60.0,Mkt&HR,56.7,Yes,2,3,7.6,Placed
M,65.87,Others,66.88,Others,Commerce,81.63,Comm&Mgmt,No,57.05,Mkt&Fin,66.5,Yes,1,4,4.7,Placed
F,76.0,Central,70.0,Central,Science,76.0,Comm&Mgmt,Yes,66.0,Mkt&Fin,64.44,Yes,2,4,8.3,Placed
M,77.67,Others,64.89,Others,Commerce,70.67,Comm&Mgmt,No,89.0,Mkt&Fin,60.39,Yes,1,1,9.4,Placed
M,52.58,Others,81.62,Others,Commerce,73.83,Sci&Tech,No,91.4,Mkt&Fin,63.74,Yes,0,2,6.3,Placed
M,83.48,Central,86.24,Central,Commerce,69.82,Comm&Mgmt,No,83.61,Mkt&Fin,63.23,Yes,1,4,7.4,Placed
F,70.5,Central,62.5,Others,Commerce,61.0,Comm&Mgmt,No,93.91,Mkt&Fin,69.03,Yes,2,1,4.5,Not Placed
M,72.75,Central,60.57,Central,Science,67.02,Sci&Tech,No,85.88,Mkt&Fin,64.51,Yes,0,3,7.8,Placed
M,60.2,Others,69.9,Others,Science,54.22,Sci&Tech,No,61.63,Mkt&Fin,57.49,No,1,1,4.8,Not Placed
M,82.05,Central,86.16,Others,Commerce,73.57,Comm&Mgmt,Yes,80.3,Mkt&Fin,67.74,Yes,0,3,5.7,Placed
M,64.3,Central,70.69,Central,Science,55.38,Comm&Mgmt,No,64.66,Mkt&HR,53.87,Yes,1,2,5.3,Not Placed
F,71.72,Central,63.3,Others,Commerce,53.12,Comm&Mgmt,No,75.57,Mkt&HR,59.96,Yes,1,2,4.2,Not Placed
F,66.5,Central,66.8,Central,Arts,69.3,Comm&Mgmt,Yes,80.4,Mkt&Fin,71.0,Yes,0,4,7.2,Placed
M,65.0,Central,77.0,Central,Commerce,69.0,Comm&Mgmt,No,60.0,Mkt&HR,61.82,Yes,3,3,7.1,Placed
M,70.0,Central,63.0,Central,Science,66.0,Sci&Tech,No,61.28,Mkt&HR,60.11,Yes,0,2,9.0,Placed
M,62.27,Others,53.53,Others,Science,70.39,Sci&Tech,No,72.92,Mkt&HR,54.0,Yes,0,3,5.2,Placed
M,71.21,Others,84.26,Central,Science,73.78,Comm&Mgmt,Yes,65.64,Mkt&Fin,67.39,Yes,2,4,7.0,Placed
F,80.63,Central,51.81,Central,Science,68.7,Comm&Mgmt,Yes,63.72,Mkt&HR,58.2,Yes,1,5,2.0,Not Placed
F,83.54,Others,79.04,Central,Commerce,61.68,Comm&Mgmt,Yes,76.97,Mkt&HR,69.1,Yes,0,1,6.3,Placed
M,62.46,Others,59.24,Others,Commerce,69.96,Comm&Mgmt,No,83.91,Mkt&Fin,65.66,Yes,0,2,6.6,Placed
M,80.92,Central,77.41,Others,Commerce,74.41,Sci&Tech,No,63.76,Mkt&HR,69.57,Yes,0,0,7.8,Placed
M,53.91,Others,59.46,Others,Commerce,54.86,Sci&Tech,No,84.74,Mkt&HR,66.35,No,2,2,5.3,Not Placed
F,74.67,Central,73.42,Others,Commerce,66.01,Comm&Mgmt,No,61.71,Mkt&Fin,64.73,Yes,0,2,8.4,Placed
F,84.0,Central,73.0,Central,Commerce,73.0,Comm&Mgmt,No,75.0,Mkt&Fin,73.33,Yes,0,5,7.4,Placed
F,70.94,Central,83.28,Others,Commerce,79.44,Sci&Tech,No,90.04,Mkt&HR,59.29,Yes,0,2,7.8,Placed
M,70.36,Others,58.13,Others,Commerce,77.77,Comm&Mgmt,No,57.66,Mkt&Fin,64.65,Yes,1,2,6.8,Not Placed
F,62.77,Central,49.47,Others,Science,61.3,Comm&Mgmt,No,50.0,Mkt&HR,54.42,No,0,2,5.7,Not Placed
M,68.46,Central,61.87,Central,Commerce,64.99,Comm&Mgmt,No,74.97,Mkt&Fin,64.45,Yes,2,3,6.7,Placed
M,80.0,Others,70.0,Others,Science,72.0,Sci&Tech,No,87.0,Mkt&HR,71.04,Yes,0,5,4.2,Placed
M,74.07,Central,78.66,Others,Commerce,73.14,Comm&Mgmt,No,83.77,Mkt&HR,63.51,No,0,2,6.4,Placed
