cgpa,internships,projects,workshops,aptitude_score,soft_skills,extracurricular,placement_training,ssc_marks,hsc_marks,status
8.6,1,3,2,87,4.1,Yes,Yes,80,86,Placed
6.8,0,1,0,84,4.1,Yes,Yes,62,86,Placed
7.5,1,1,1,77,3.8,No,Yes,63,65,Not Placed
8.4,1,3,2,85,4.2,Yes,Yes,89,88,Placed
6.7,2,1,2,82,4.6,Yes,Yes,82,70,Not Placed
8.5,1,2,0,87,4.7,No,Yes,55,70,Placed
8.2,0,3,0,86,4.0,Yes,Yes,67,80,Placed
6.5,1,1,1,79,4.4,Yes,Yes,74,71,Not Placed
8.1,1,3,2,90,4.5,Yes,Yes,76,82,Placed
7.0,0,1,0,69,4.5,Yes,No,62,67,Not Placed
7.5,0,1,1,72,3.5,No,Yes,55,65,Not Placed
7.9,1,1,0,80,3.8,No,No,55,72,Not Placed
6.9,0,1,0,70,4.3,No,No,57,63,Not Placed
8.8,1,3,2,90,4.8,Yes,Yes,81,88,Placed
8.4,2,3,2,90,4.8,Yes,Yes,82,80,Not Placed
8.3,1,3,2,87,4.4,Yes,Yes,76,83,Placed
6.7,1,3,1,76,4.4,Yes,Yes,84,83,Placed
7.4,1,1,1,77,4.1,No,No,55,64,Not Placed
7.4,2,3,2,75,4.2,No,Yes,80,66,Not Placed
6.7,1,1,0,74,3.9,Yes,Yes,74,66,Not Placed
7.7,1,2,1,81,4.8,Yes,Yes,81,82,Placed
7.5,0,1,1,67,4.4,No,Yes,80,60,Not Placed
6.5,1,1,0,77,3.9,Yes,Yes,78,67,Not Placed
6.5,1,2,1,89,4.6,No,Yes,75,73,Not Placed
8.5,1,3,1,82,4.7,Yes,Yes,80,70,Placed
7.9,1,2,2,90,4.2,Yes,Yes,81,86,Placed
7.2,1,1,1,67,4.3,No,No,74,72,Not Placed
7.4,2,2,1,74,3.8,No,Yes,55,69,Not Placed
8.6,1,2,0,80,4.2,No,No,55,68,Not Placed
8.5,0,3,2,90,4.7,Yes,Yes,81,81,Placed
8.4,2,2,3,90,4.6,Yes,Yes,77,83,Placed
7.5,1,1,1,79,3.2,No,Yes,61,65,Not Placed
7.8,1,2,0,75,4.5,No,Yes,55,71,Placed
8.1,2,3,2,90,4.8,Yes,Yes,81,87,Placed
8.6,2,3,2,79,4.8,Yes,Yes,78,78,Placed
7.6,1,3,1,86,4.6,Yes,Yes,67,62,Not Placed
7.5,1,3,3,68,4.1,Yes,Yes,67,71,Not Placed
7.3,1,1,0,84,4.5,No,Yes,55,75,Not Placed
6.5,1,2,1,74,3.2,No,No,59,68,Not Placed
6.6,0,1,0,61,3.8,No,No,66,61,Not Placed
7.8,1,1,1,83,4.0,No,Yes,67,69,Placed
7.5,1,1,1,60,3.0,No,No,60,69,Not Placed
8.4,2,2,2,77,4.8,Yes,Yes,71,84,Placed
7.1,2,3,2,88,4.5,Yes,Yes,75,70,Placed
8.0,2,3,1,73,4.4,Yes,Yes,81,68,Not Placed
7.2,1,3,2,80,4.6,No,No,79,84,Placed
8.1,1,2,2,84,4.3,Yes,Yes,75,84,Not Placed
6.6,1,2,0,60,4.7,Yes,Yes,55,69,Not Placed
8.6,2,2,1,74,4.0,No,No,59,63,Not Placed
6.8,1,1,1,71,4.3,No,Yes,60,62,Not Placed
7.3,1,1,0,70,3.9,No,No,61,64,Not Placed
7.9,1,2,1,86,4.8,No,Yes,70,60,Not Placed
7.5,1,1,0,71,4.0,No,No,60,57,Not Placed
8.2,2,3,2,90,4.7,Yes,Yes,83,78,Placed
6.5,1,2,1,71,4.3,No,Yes,55,70,Not Placed
8.0,1,2,0,86,4.8,Yes,Yes,67,73,Not Placed
8.1,1,3,1,68,4.7,No,Yes,59,68,Not Placed
8.4,2,3,2,79,4.4,Yes,No,80,79,Not Placed
6.5,1,3,0,64,4.6,No,No,71,64,Not Placed
8.4,1,3,0,87,4.3,Yes,Yes,59,81,Not Placed
8.4,1,3,0,81,4.8,Yes,Yes,85,88,Placed
8.4,2,3,1,80,4.6,Yes,Yes,75,79,Not Placed
7.9,0,3,1,90,4.4,Yes,Yes,82,87,Placed
6.8,1,2,0,67,3.2,No,No,55,68,Not Placed
7.3,1,3,0,90,4.7,Yes,Yes,76,88,Not Placed
7.7,1,1,0,72,4.2,No,No,55,66,Not Placed
7.3,1,1,0,66,3.8,No,No,60,73,Not Placed
8.5,2,3,0,89,4.8,Yes,Yes,82,70,Placed
8.1,1,3,2,88,4.4,No,Yes,55,88,Placed
8.0,2,3,2,90,4.8,Yes,Yes,82,83,Placed
8.8,0,1,2,90,4.8,Yes,Yes,82,82,Not Placed
8.1,2,3,2,90,4.7,Yes,Yes,82,85,Placed
7.6,2,3,0,78,4.8,Yes,Yes,74,87,Placed
8.4,2,3,0,90,4.8,Yes,Yes,70,88,Placed
7.9,1,3,1,75,4.6,Yes,Yes,80,81,Not Placed
8.3,2,2,2,90,4.7,Yes,No,73,81,Not Placed
8.5,2,2,2,65,4.4,Yes,Yes,57,81,Not Placed
8.4,2,3,2,90,4.8,Yes,Yes,76,88,Placed
8.6,2,3,2,89,4.8,Yes,Yes,79,85,Not Placed
7.7,1,3,1,76,4.0,No,No,65,61,Not Placed
7.6,1,1,0,83,4.0,No,No,55,60,Not Placed
8.2,2,3,2,81,4.8,Yes,Yes,83,82,Placed
8.0,2,3,0,90,4.3,No,Yes,83,83,Placed
6.5,1,1,0,78,4.5,Yes,Yes,55,77,Not Placed
7.7,0,2,0,80,4.3,No,Yes,55,68,Not Placed
8.3,2,3,2,90,4.8,Yes,Yes,74,88,Placed
7.3,1,2,0,81,3.7,Yes,Yes,68,85,Not Placed
6.5,0,3,0,72,4.1,No,Yes,70,64,Not Placed
7.5,1,2,0,79,4.7,No,No,69,67,Not Placed
7.8,1,2,0,78,4.8,No,Yes,57,74,Not Placed
7.3,1,2,0,66,4.6,No,Yes,59,72,Not Placed
7.6,0,1,0,88,4.3,No,Yes,56,62,Not Placed
8.1,1,1,1,79,3.4,No,Yes,78,66,Not Placed
7.9,2,3,2,90,4.8,Yes,Yes,78,87,Placed
7.6,1,1,0,68,4.3,No,No,62,68,Not Placed
8.2,2,3,1,85,4.6,No,Yes,78,66,Placed
7.6,2,3,0,90,4.8,Yes,No,74,85,Not Placed
8.1,2,2,0,84,4.8,Yes,Yes,76,87,Placed
6.6,1,1,0,75,4.8,No,No,62,65,Not Placed
8.3,1,2,2,90,4.8,Yes,Yes,70,88,Placed
6.5,1,2,0,68,4.4,No,Yes,72,70,Placed
6.5,1,1,1,79,4.2,No,No,85,71,Not Placed
8.1,1,3,2,78,4.7,Yes,Yes,75,88,Not Placed
6.5,1,2,1,63,4.0,Yes,No,56,66,Not Placed
8.3,2,1,0,80,4.7,Yes,Yes,84,86,Placed
7.3,0,3,2,89,4.5,Yes,Yes,80,86,Placed
7.6,1,3,2,79,4.3,No,Yes,70,87,Not Placed
6.7,1,1,1,82,4.3,No,Yes,55,65,Not Placed
8.3,1,2,1,84,4.3,Yes,Yes,64,71,Not Placed
7.5,0,1,0,72,4.1,No,No,55,69,Not Placed
7.6,1,1,1,75,4.1,No,No,55,70,Not Placed
8.0,2,3,2,89,4.8,Yes,Yes,83,83,Placed
8.6,1,1,2,87,3.9,Yes,Yes,84,84,Placed
8.4,2,2,2,86,4.8,Yes,Yes,72,83,Placed
6.5,1,1,0,67,3.5,No,No,63,63,Not Placed
8.2,1,3,3,82,4.0,Yes,Yes,80,84,Not Placed
7.8,1,1,1,82,3.9,No,Yes,74,73,Not Placed
6.7,1,1,0,76,4.2,No,Yes,55,66,Not Placed
6.8,0,1,1,70,3.0,No,No,55,60,Not Placed
8.3,2,3,2,90,4.8,Yes,Yes,76,84,Placed
7.5,1,1,1,72,4.6,Yes,No,62,63,Not Placed
7.4,1,1,1,77,3.9,No,Yes,59,69,Not Placed
6.6,1,2,1,68,4.7,No,No,56,66,Not Placed
8.4,1,3,0,82,4.1,No,Yes,74,86,Not Placed
6.7,1,2,1,64,3.8,No,Yes,82,64,Not Placed
7.8,2,3,2,83,4.8,No,Yes,74,83,Not Placed
8.7,2,3,2,81,4.8,Yes,Yes,87,85,Placed
6.6,1,1,0,71,4.5,Yes,No,90,64,Not Placed
8.4,2,3,2,90,4.6,Yes,Yes,74,85,Placed
8.1,0,1,0,71,4.0,Yes,Yes,60,69,Not Placed
7.8,0,3,2,85,4.3,Yes,No,89,63,Not Placed
8.2,2,3,2,90,4.8,Yes,Yes,85,83,Placed
7.6,1,3,0,82,3.8,Yes,Yes,78,65,Not Placed
7.7,1,1,1,71,4.4,Yes,Yes,66,73,Not Placed
7.6,1,2,2,65,4.8,Yes,No,58,72,Not Placed
8.4,1,3,0,82,4.8,Yes,Yes,75,81,Placed
7.7,1,3,1,84,3.9,No,Yes,55,78,Not Placed
6.6,0,3,0,86,4.8,No,No,79,66,Not Placed
7.2,1,1,1,62,4.0,No,No,74,63,Not Placed
7.5,0,2,1,69,4.5,No,Yes,55,60,Not Placed
6.5,1,1,1,68,4.6,No,No,58,63,Not Placed
8.3,2,3,0,85,4.7,Yes,Yes,73,87,Not Placed
8.9,1,3,2,83,4.6,Yes,Yes,71,84,Placed
7.3,1,1,1,68,3.3,No,Yes,55,67,Not Placed
7.8,1,1,0,77,4.1,No,Yes,64,67,Not Placed
7.5,1,1,0,68,3.7,No,No,57,63,Not Placed
8.6,1,1,3,81,4.7,No,Yes,72,86,Placed
7.5,0,2,0,63,4.5,Yes,Yes,56,62,Placed
8.6,2,3,1,90,4.8,Yes,Yes,58,71,Placed
6.9,1,1,0,67,4.1,Yes,Yes,62,71,Not Placed
8.3,1,3,2,90,4.8,Yes,Yes,79,84,Placed
7.9,0,1,1,73,4.1,No,Yes,79,80,Not Placed
8.2,1,2,2,90,4.7,Yes,Yes,83,87,Not Placed
7.9,1,1,0,72,3.6,No,No,55,68,Not Placed
6.5,1,2,2,70,4.1,No,No,68,68,Not Placed
7.7,1,1,0,67,3.6,No,No,57,64,Not Placed
8.1,2,1,0,86,4.3,Yes,Yes,72,80,Not Placed
8.2,2,3,2,83,3.8,Yes,Yes,73,69,Not Placed
8.0,1,2,0,85,4.3,Yes,Yes,69,81,Not Placed
7.9,1,3,2,88,4.5,Yes,No,90,69,Placed
8.5,1,3,2,90,4.8,Yes,Yes,87,85,Placed
6.7,1,1,0,71,4.3,No,Yes,57,60,Placed
7.3,0,1,1,80,4.5,No,Yes,55,69,Not Placed
8.1,1,3,2,90,4.8,Yes,Yes,84,88,Placed
9.1,2,1,3,84,4.8,Yes,Yes,81,85,Placed
8.6,1,3,2,89,4.6,Yes,Yes,75,83,Placed
6.7,2,1,1,77,4.5,Yes,Yes,64,62,Not Placed
7.9,1,2,0,66,4.5,No,Yes,60,63,Not Placed
8.3,1,3,2,74,4.7,Yes,Yes,78,84,Not Placed
8.6,1,3,2,82,4.8,Yes,Yes,85,86,Placed
7.1,1,1,0,74,4.6,Yes,No,55,75,Not Placed
7.3,1,1,0,77,4.3,Yes,Yes,66,68,Not Placed
7.7,1,3,2,85,4.8,Yes,Yes,80,86,Placed
8.5,1,3,0,74,4.3,Yes,Yes,78,62,Placed
7.5,1,2,1,76,3.4,No,No,55,65,Not Placed
6.5,0,2,1,72,3.9,No,Yes,59,60,Not Placed
7.0,2,2,1,74,4.3,No,Yes,55,83,Not Placed
7.8,1,3,1,90,4.4,Yes,Yes,85,82,Placed
8.4,2,3,2,89,4.6,Yes,Yes,74,86,Placed
6.7,2,1,1,75,4.6,No,No,61,67,Not Placed
8.6,0,3,2,85,4.7,Yes,Yes,78,80,Placed
8.1,1,2,2,84,4.5,Yes,Yes,78,84,Placed
7.8,2,3,2,90,4.8,Yes,Yes,88,80,Placed
6.5,1,1,1,83,4.7,No,No,55,71,Not Placed
8.6,0,3,1,81,4.6,Yes,Yes,74,85,Placed
8.1,1,3,2,70,4.7,No,Yes,65,75,Placed
8.5,2,3,2,86,4.7,Yes,No,76,80,Not Placed
6.5,0,2,1,80,3.9,No,No,55,65,Not Placed
8.3,1,2,1,74,4.2,Yes,Yes,76,81,Not Placed
7.6,2,3,0,90,4.8,Yes,Yes,79,67,Placed
6.8,1,1,2,84,4.5,Yes,Yes,69,88,Not Placed
8.1,0,2,0,75,4.3,Yes,Yes,60,72,Not Placed
8.2,2,3,2,90,4.8,Yes,Yes,79,84,Placed
7.8,2,3,3,82,4.3,Yes,Yes,88,84,Not Placed
7.7,0,1,1,77,3.3,No,No,56,68,Not Placed
8.7,1,2,1,90,4.6,Yes,Yes,75,88,Placed
7.8,0,2,1,65,4.3,Yes,No,56,67,Placed
8.3,1,2,2,83,4.2,Yes,Yes,55,88,Placed
6.8,1,1,1,84,4.2,No,No,55,69,Not Placed
7.4,1,1,0,77,4.2,No,Yes,55,70,Not Placed
8.6,2,3,2,88,4.5,Yes,Yes,82,85,Not Placed
6.5,1,1,1,60,3.4,No,No,55,68,Not Placed
8.4,1,3,2,80,4.4,Yes,Yes,61,79,Not Placed
8.3,2,3,2,86,4.8,Yes,Yes,78,86,Placed
7.6,1,2,1,75,4.3,Yes,Yes,80,67,Placed
7.5,1,2,0,67,4.2,No,No,55,64,Not Placed
6.5,2,3,0,84,4.8,No,Yes,62,84,Not Placed
6.5,0,1,1,90,3.7,No,Yes,64,71,Not Placed
8.1,1,1,1,77,4.6,Yes,Yes,73,87,Not Placed
6.7,1,2,1,85,4.4,No,Yes,55,71,Not Placed
7.1,1,2,0,72,4.4,Yes,No,69,69,Not Placed
8.4,2,3,2,90,4.7,Yes,Yes,78,83,Placed
7.6,0,3,0,90,4.7,No,Yes,73,77,Not Placed
6.5,1,1,0,79,4.4,No,Yes,55,69,Not Placed
8.2,1,3,2,85,4.4,Yes,Yes,76,88,Placed
6.5,1,1,1,64,3.4,No,No,56,61,Not Placed
8.2,1,2,1,90,4.8,Yes,No,82,63,Not Placed
8.7,2,3,2,90,4.8,Yes,Yes,89,86,Placed
8.3,2,3,2,89,4.1,Yes,Yes,77,77,Placed
7.9,1,2,2,83,4.5,Yes,No,69,87,Placed
6.7,0,2,1,79,3.3,No,No,73,69,Not Placed
7.6,0,1,0,69,4.7,No,No,56,67,Not Placed
8.2,2,3,2,90,4.8,Yes,Yes,78,88,Placed
6.5,1,2,1,82,4.4,No,Yes,55,69,Not Placed
8.3,1,2,1,81,4.0,Yes,Yes,55,63,Not Placed
8.3,1,3,1,73,4.5,Yes,Yes,83,66,Placed
6.5,2,3,0,88,4.5,No,No,79,62,Not Placed
7.6,1,2,1,73,4.3,Yes,Yes,56,67,Not Placed
6.5,1,1,1,71,4.1,No,No,56,70,Not Placed
6.5,1,1,0,79,4.4,No,Yes,55,69,Not Placed
8.1,2,2,2,90,4.6,No,No,88,79,Not Placed
7.6,2,2,2,81,4.3,No,Yes,85,82,Not Placed
8.3,2,3,2,87,4.7,No,Yes,71,85,Placed
7.5,0,1,1,62,3.7,No,No,55,65,Not Placed
7.7,1,3,2,78,4.1,Yes,Yes,77,82,Placed
7.7,0,2,2,72,4.8,Yes,No,85,67,Not Placed
8.8,2,3,2,90,4.8,Yes,Yes,84,88,Placed
6.5,1,2,1,80,4.8,No,No,83,65,Not Placed
7.3,1,2,3,85,4.3,Yes,Yes,81,87,Not Placed
6.5,0,1,0,80,4.3,No,No,61,60,Not Placed
7.7,1,3,2,83,4.8,Yes,Yes,82,82,Placed
8.7,1,3,2,72,4.8,Yes,Yes,84,72,Placed
7.6,1,3,0,75,4.0,No,Yes,55,73,Not Placed
7.8,1,1,0,74,3.8,No,No,61,68,Not Placed
8.0,1,3,2,88,3.9,No,No,88,71,Placed
7.8,1,3,1,80,4.2,No,Yes,71,87,Not Placed
7.4,1,1,1,79,4.0,Yes,No,55,70,Placed
7.3,1,3,0,87,4.3,No,Yes,55,86,Placed
8.0,2,3,3,84,4.0,Yes,Yes,75,60,Not Placed
7.3,1,1,1,66,4.4,No,No,60,64,Not Placed
7.4,1,2,1,66,4.3,No,No,78,70,Not Placed
8.3,1,2,2,87,4.3,Yes,Yes,81,88,Placed
8.3,1,3,1,83,4.1,No,Yes,66,82,Not Placed
8.9,0,2,1,79,4.6,No,No,62,75,Not Placed
7.9,1,1,0,68,3.9,No,No,62,74,Not Placed
7.5,1,1,0,73,4.0,No,No,74,70,Not Placed
8.3,1,2,0,78,4.4,Yes,Yes,57,81,Not Placed
7.6,2,1,2,79,4.4,No,Yes,57,70,Not Placed
6.5,0,1,1,64,4.5,Yes,Yes,70,87,Not Placed
7.6,0,1,0,71,4.0,No,Yes,58,66,Not Placed
8.3,1,2,2,78,4.4,Yes,Yes,76,85,Placed
8.4,2,3,2,90,4.8,Yes,Yes,78,83,Placed
7.8,2,3,2,90,4.5,Yes,Yes,82,82,Placed
8.2,1,1,1,76,3.5,No,Yes,85,63,Placed
8.6,1,3,0,77,4.0,No,Yes,55,70,Not Placed
7.4,0,1,1,82,4.5,No,Yes,55,69,Not Placed
7.4,1,2,2,77,4.6,Yes,Yes,66,83,Placed
8.4,2,2,2,78,4.1,No,Yes,83,80,Placed
8.5,2,3,2,85,4.8,Yes,Yes,87,83,Placed
6.5,1,1,1,76,3.9,Yes,Yes,68,62,Not Placed
8.3,2,3,2,87,4.8,Yes,Yes,83,86,Placed
7.3,1,2,1,70,4.0,No,No,55,73,Not Placed
7.7,1,1,0,67,4.4,No,Yes,81,73,Not Placed
8.2,2,2,2,76,4.3,Yes,Yes,76,66,Placed
8.1,2,3,2,89,4.8,Yes,Yes,88,67,Not Placed
6.5,1,1,0,70,4.1,Yes,Yes,58,58,Not Placed
8.8,2,3,2,90,4.6,Yes,Yes,85,83,Placed
8.6,2,3,2,90,4.8,Yes,Yes,71,81,Placed
6.5,1,2,1,79,3.9,No,Yes,55,70,Not Placed
8.1,0,1,0,70,3.6,Yes,Yes,65,63,Not Placed
6.9,1,2,1,68,3.8,Yes,Yes,70,66,Not Placed
8.7,2,3,2,89,4.5,Yes,Yes,63,87,Placed
7.2,1,1,1,63,3.9,No,No,61,67,Not Placed
6.5,1,1,0,78,3.9,No,Yes,57,70,Not Placed
6.5,1,3,0,83,4.8,Yes,No,87,81,Not Placed
8.2,1,3,2,83,4.3,Yes,No,83,63,Not Placed
7.9,2,3,2,90,4.7,Yes,Yes,88,65,Placed
8.7,2,3,2,86,4.8,Yes,Yes,81,84,Placed
7.7,0,3,2,90,4.5,No,Yes,86,86,Placed
8.0,0,2,2,75,3.8,Yes,No,76,82,Not Placed
7.7,1,1,1,90,4.1,No,Yes,75,71,Placed
6.5,2,3,2,79,3.7,Yes,Yes,57,68,Placed
6.5,1,2,0,73,4.5,No,Yes,79,63,Not Placed
7.9,1,3,2,82,4.4,Yes,Yes,80,88,Not Placed
8.2,1,1,0,75,4.5,No,No,60,87,Not Placed
8.3,1,3,2,74,4.4,Yes,Yes,82,82,Placed
8.7,1,3,1,71,4.8,Yes,Yes,76,81,Placed
7.7,1,1,1,68,4.2,No,Yes,74,74,Not Placed
8.3,2,3,2,90,4.8,Yes,Yes,80,87,Placed
7.7,1,1,0,81,4.3,No,No,60,70,Placed
6.6,0,2,2,77,4.2,No,Yes,55,66,Not Placed
7.7,1,1,2,69,4.7,No,Yes,72,63,Not Placed
7.1,1,1,1,72,3.9,No,No,57,57,Not Placed
6.5,1,1,0,74,3.6,No,Yes,58,67,Not Placed
8.1,1,2,0,90,4.6,Yes,Yes,84,86,Placed
6.7,2,1,1,69,3.8,No,Yes,62,61,Not Placed
7.4,1,2,1,66,3.5,No,No,55,65,Not Placed
7.6,1,2,0,65,4.8,Yes,Yes,73,85,Not Placed
8.4,2,3,0,90,4.7,Yes,Yes,78,83,Placed
7.8,1,1,0,78,4.4,Yes,No,56,66,Not Placed
8.5,1,3,2,90,4.8,Yes,Yes,79,86,Placed
7.6,1,1,1,60,4.4,No,Yes,59,70,Not Placed
7.7,1,1,0,81,3.9,No,Yes,76,68,Not Placed
8.8,2,3,2,90,4.8,Yes,Yes,84,80,Placed
7.7,1,1,1,82,3.8,No,No,55,71,Not Placed
7.6,1,1,1,81,4.5,No,Yes,63,67,Not Placed
7.9,2,1,1,80,4.7,Yes,Yes,85,84,Placed
8.7,2,3,1,90,4.8,Yes,Yes,72,83,Not Placed
6.7,1,1,0,75,4.1,No,No,64,59,Not Placed
7.0,1,2,1,83,4.8,Yes,Yes,58,64,Not Placed
7.6,1,1,0,62,4.2,No,Yes,55,80,Not Placed
7.0,1,3,2,75,4.4,Yes,Yes,74,63,Placed
7.4,1,2,1,75,4.3,No,Yes,55,66,Not Placed
7.1,1,1,2,71,4.2,No,Yes,57,71,Not Placed
8.1,2,3,0,66,4.2,Yes,No,63,58,Not Placed
7.6,1,1,1,62,3.8,No,Yes,74,68,Not Placed
8.3,1,3,2,89,4.8,Yes,Yes,86,86,Placed
6.8,1,1,0,69,4.0,No,No,55,63,Not Placed
7.4,0,1,1,67,3.4,No,No,62,64,Not Placed
7.2,1,2,1,72,4.4,No,Yes,63,74,Not Placed
7.9,1,3,1,82,4.1,No,Yes,55,69,Not Placed
8.1,1,2,1,85,4.7,No,Yes,55,80,Not Placed
7.7,1,2,2,85,4.8,Yes,Yes,87,86,Placed
7.4,1,1,0,68,3.5,No,No,61,70,Not Placed
6.6,0,1,2,79,4.2,Yes,No,69,84,Placed
7.6,1,2,0,80,3.8,Yes,Yes,55,66,Not Placed
8.0,1,2,2,73,4.4,No,No,83,61,Not Placed
6.9,1,1,1,65,4.4,No,Yes,62,71,Not Placed
8.3,1,3,1,87,4.4,Yes,Yes,59,83,Placed
8.6,1,3,1,85,4.8,Yes,No,73,86,Not Placed
7.4,1,1,1,70,3.7,No,No,55,68,Not Placed
6.9,0,2,0,63,4.3,No,No,69,68,Not Placed
7.3,0,1,0,75,3.9,No,Yes,57,63,Not Placed
8.5,1,2,2,79,4.3,Yes,Yes,82,84,Placed
7.7,0,2,0,77,4.6,Yes,Yes,71,72,Not Placed
7.6,0,1,1,71,3.9,No,Yes,66,65,Not Placed
7.2,1,1,0,76,4.0,No,Yes,65,68,Not Placed
8.2,2,1,1,75,3.7,Yes,Yes,68,84,Not Placed
7.5,1,2,0,81,4.0,Yes,Yes,71,88,Placed
8.0,2,3,2,88,4.6,Yes,Yes,81,87,Placed
7.6,0,3,0,82,4.4,Yes,No,84,80,Not Placed
8.3,1,2,0,78,4.5,No,Yes,63,60,Not Placed
7.4,1,2,2,77,3.7,Yes,Yes,79,88,Not Placed
7.8,1,2,1,77,4.6,Yes,Yes,71,76,Placed
7.5,0,1,0,66,4.2,No,No,58,65,Not Placed
8.7,2,3,2,90,4.8,Yes,Yes,90,80,Placed
8.2,0,3,0,90,4.4,Yes,Yes,86,78,Placed
7.6,1,3,0,81,4.7,Yes,Yes,79,82,Placed
7.8,1,1,1,79,3.8,No,No,55,74,Placed
8.1,1,2,2,83,4.5,No,Yes,77,82,Not Placed
8.0,1,3,2,90,4.8,Yes,Yes,71,82,Not Placed
8.3,2,2,2,76,4.6,No,Yes,55,71,Placed
6.5,1,1,0,70,4.4,No,Yes,74,72,Not Placed
7.9,0,3,0,87,3.9,Yes,Yes,78,82,Not Placed
7.7,0,3,0,88,4.8,Yes,Yes,73,77,Placed
8.1,2,3,2,86,4.7,Yes,Yes,84,84,Placed
7.4,1,1,0,77,4.5,No,Yes,69,73,Not Placed
7.9,2,3,2,90,4.8,Yes,No,71,62,Placed
6.6,0,1,0,73,4.3,Yes,Yes,58,68,Not Placed
6.5,0,1,0,71,3.9,No,Yes,66,66,Not Placed
7.4,1,3,1,71,4.4,Yes,No,63,76,Not Placed
8.1,1,2,0,77,4.8,Yes,Yes,80,87,Placed
6.5,0,1,0,70,4.2,Yes,No,64,81,Not Placed
8.1,2,3,2,89,4.8,Yes,No,79,83,Placed
7.3,0,3,0,83,4.3,Yes,No,73,74,Not Placed
8.1,1,1,0,68,4.4,No,No,58,86,Placed
6.5,1,1,0,88,4.0,Yes,Yes,58,70,Placed
6.8,0,1,0,72,4.0,Yes,Yes,80,65,Placed
7.8,1,1,0,90,4.3,No,Yes,69,84,Placed
8.3,1,2,0,83,4.2,Yes,No,79,84,Not Placed
7.8,0,3,0,81,4.2,Yes,Yes,67,66,Not Placed
7.7,1,2,0,82,4.1,No,No,55,65,Not Placed
7.9,1,1,1,67,3.3,Yes,Yes,71,68,Not Placed
6.5,0,3,2,84,4.4,Yes,Yes,68,72,Placed
8.4,0,3,2,81,4.8,Yes,Yes,84,84,Not Placed
6.5,2,1,1,76,4.8,Yes,No,74,69,Not Placed
8.1,2,3,3,85,4.8,Yes,No,57,82,Not Placed
8.0,1,1,0,70,4.3,No,No,62,64,Not Placed
8.3,1,2,1,77,4.6,Yes,Yes,82,80,Placed
6.8,1,2,0,67,4.1,No,Yes,57,65,Not Placed
7.4,0,2,0,74,4.1,No,Yes,64,63,Placed
7.6,1,1,0,80,3.6,No,No,55,67,Not Placed
7.3,1,1,0,61,3.3,No,No,55,67,Not Placed
7.7,1,1,0,69,4.4,No,No,55,69,Not Placed
7.8,1,3,1,88,4.0,No,Yes,72,83,Not Placed
8.4,0,2,3,82,4.4,Yes,Yes,77,88,Placed
7.9,1,3,2,88,4.8,Yes,Yes,77,88,Not Placed
6.8,1,2,0,80,3.8,No,Yes,77,80,Placed
8.4,2,3,2,90,4.8,Yes,Yes,77,88,Placed
7.9,1,2,1,77,4.3,No,No,55,63,Placed
8.2,1,1,1,68,3.7,Yes,No,68,62,Not Placed
7.6,1,1,0,73,4.3,No,Yes,68,64,Not Placed
7.6,1,2,0,76,4.8,Yes,Yes,71,79,Not Placed
8.3,1,2,0,69,4.4,No,Yes,55,63,Not Placed
8.5,1,3,2,90,4.8,Yes,Yes,80,85,Placed
7.4,1,1,0,64,3.7,No,No,56,59,Not Placed
8.1,2,2,0,78,4.8,Yes,No,58,79,Not Placed
8.0,2,3,2,79,4.3,Yes,No,64,69,Not Placed
7.6,0,1,0,75,4.3,Yes,Yes,55,66,Not Placed
7.6,2,3,1,89,4.5,Yes,No,72,84,Placed
8.4,0,1,2,76,3.4,No,Yes,77,85,Placed
8.1,2,3,2,85,4.5,No,Yes,55,75,Placed
8.3,1,3,3,90,4.8,Yes,Yes,67,85,Placed
7.5,1,3,0,85,4.6,Yes,Yes,80,69,Placed
8.2,2,3,2,81,4.5,Yes,Yes,74,88,Placed
8.4,1,2,0,76,4.7,Yes,Yes,55,65,Not Placed
8.6,2,3,2,90,4.7,Yes,Yes,75,88,Placed
7.5,0,2,1,74,4.5,Yes,Yes,77,73,Placed
8.7,2,3,2,90,4.8,Yes,Yes,74,81,Not Placed
8.2,1,3,1,86,4.3,Yes,Yes,71,85,Placed
7.6,0,2,0,79,3.8,No,Yes,55,63,Not Placed
7.7,1,1,1,68,3.8,No,No,57,69,Not Placed
6.5,1,2,1,69,4.1,No,Yes,72,60,Not Placed
8.4,2,3,0,74,4.3,Yes,Yes,74,84,Not Placed
6.8,0,1,1,63,3.7,Yes,No,63,65,Not Placed
7.5,1,2,2,82,4.1,Yes,Yes,83,69,Not Placed
7.9,1,1,0,76,3.3,Yes,No,81,77,Not Placed
8.6,1,3,2,87,4.8,Yes,Yes,75,85,Placed
7.8,0,3,2,89,4.7,Yes,Yes,72,88,Placed
7.5,2,2,0,70,4.4,No,Yes,55,62,Not Placed
8.1,2,3,2,89,4.5,Yes,Yes,81,81,Not Placed
6.7,1,1,1,67,4.7,No,Yes,81,64,Placed
8.1,2,3,2,90,4.5,Yes,Yes,80,88,Placed
6.5,0,2,1,79,4.3,No,No,57,71,Not Placed
8.3,1,3,2,83,4.6,Yes,No,69,87,Placed
6.6,0,1,0,79,4.4,No,Yes,55,64,Not Placed
7.8,0,3,2,82,4.5,No,Yes,60,63,Placed
7.5,0,1,0,60,3.8,No,No,55,67,Not Placed
